wp_user_id,level,your_point_average,your_time_average,all_ppt_score,answers_count
1,N2,61,50,366,2
133,N5,82.5,386.75,63.9948287,4
149,N3,80,368,65.2173913,1
149,N4,77.5,636.3333333,36.53745416,4
149,N5,85,541,47.1349353,2
150,N2,11,,,1
150,N5,90,115,234.7826087,1
152,N5,86,347,74.35158501,5
156,N5,100,391,76.72634271,1
157,N5,85,773,32.98835705,2
159,N5,100,,,1
169,N5,82,299.6,82.10947931,5
174,N5,78.57142857,493.2857143,47.78453519,7
182,N5,80,515,46.60194175,1
183,N5,87.5,389.25,67.43737958,4
187,N5,90,125,216,2
188,N4,100,,,1
188,N5,90,349.5,77.25321888,2
200,N5,100,157,191.0828025,1
208,N5,82,524.2,46.92865319,5
210,N2,90,335,80.59701493,1
210,N3,90,580,46.55172414,1
210,N5,71.66666667,354.8333333,60.59182715,6
214,N5,80,920,26.08695652,3
216,N5,95,624.5,45.63650921,2
220,N5,100,1957,15.3295861,1
223,N5,90,655,41.22137405,1
226,N5,85.16666667,308.5,82.82009724,6
227,N5,90,224.6666667,120.1780415,6
232,N5,70,438,47.94520548,2
233,N5,80,680,35.29411765,1
239,N5,96.66666667,322.6666667,89.87603306,3
242,N5,80,664,36.14457831,2
247,N3,40,1780,6.741573034,1
249,N5,66.66666667,1006,19.88071571,3
250,N2,75,309,72.81553398,2
250,N3,80,,,1
251,N2,61.8,536.25,34.57342657,10
251,N3,72.72727273,416.2727273,52.41319065,11
251,N4,90,332.25,81.26410835,9
251,N5,83.44444444,249.875,100.183425,9
252,N2,58.57142857,519.4,33.83024369,7
252,N3,77.5,451.25,51.52354571,8
252,N4,87.14285714,472.8333333,55.28979304,7
252,N5,90,354.6666667,76.12781955,7
253,N2,65,439.125,44.40649018,8
253,N3,75.83333333,510.75,44.5423397,12
253,N4,87.5,321.2857143,81.7029791,8
253,N5,91.11111111,216,126.5432099,9
254,N2,47.46153846,358.4444444,39.72292432,13
254,N3,65.55555556,288.125,68.25741142,9
254,N4,81.25,248.2857143,98.17318757,8
254,N5,87.5,250,105,8
255,N5,80,493,48.68154158,1
256,N3,100,746,40.21447721,1
256,N5,80,537,44.69273743,1
257,N5,100,504,59.52380952,1
262,N3,60,486,37.03703704,1
262,N4,86.66666667,345.6666667,75.21697203,3
262,N5,100,432,69.44444444,1
264,N4,57.5,613.6666667,28.10972298,4
264,N5,100,343,87.46355685,1
265,N4,60,1766,10.19252548,1
265,N5,60,1745,10.31518625,1
267,N3,70.83333333,345.0833333,61.57932866,12
267,N4,76.66666667,467,49.25053533,6
267,N5,85.71428571,268.4285714,95.79563598,7
270,N5,80,554,43.32129964,3
271,N5,87.5,402,65.29850746,4
276,N2,90,118,228.8135593,1
277,N5,100,106,283.0188679,1
280,N5,0,12,0,1
284,N5,70,812.75,25.83820363,4
285,N5,83.33333333,995.3333333,25.11721366,3
286,N3,30,324,27.77777778,1
289,N3,50,153,98.03921569,1
289,N5,100,149,201.3422819,2
292,N5,50,761.8,19.6902074,5
293,N5,100,107.6666667,278.6377709,3
296,N5,100,241,124.4813278,1
297,N5,90,382,70.68062827,1
298,N5,100,,,1
299,N5,55,428.5,38.50641774,2
300,N5,95,488,58.40163934,2
301,N3,20,541,11.09057301,1
302,N3,50,362,41.43646409,1
302,N4,60,668,26.94610778,1
302,N5,75,938,23.98720682,2
303,N5,90,495,54.54545455,1
306,N3,100,199,150.7537688,1
307,N5,60,674,26.70623145,1
308,N5,45,987.5,13.67088608,4
309,N5,100,97,309.2783505,1
310,N2,22,,,1
311,N3,92.5,752.25,36.889332,8
311,N4,96.66666667,478.5,60.60606061,3
312,N3,72.72727273,756.8181818,28.82882883,11
312,N4,82.3,626.7142857,39.39594256,10
312,N5,80,538.7777778,44.54526707,9
314,N3,78.75,568.1428571,41.5828514,8
314,N4,74,643.6666667,34.48990161,5
314,N5,80,613.6666667,39.10917979,4
315,N2,66.66666667,688.6666667,29.04162633,3
315,N3,70,1087.285714,19.31415057,8
315,N4,72,1157.75,18.65687756,5
315,N5,96,430.4,66.91449814,5
316,N4,77,462.5714286,49.93823348,9
317,N5,90,435,62.06896552,1
322,N2,94,67,420.8955224,2
322,N3,60,99.5,180.9045226,2
322,N4,90,109,247.706422,1
322,N5,100,209,143.5406699,1
323,N5,5,16.5,90.90909091,2
325,N5,76.16666667,420.6,54.32715169,6
326,N5,80,,,1
328,N5,90.33333333,479.5,56.51720542,3
329,N5,71,,,1
330,N5,80,153,156.8627451,1
331,N5,90,187,144.3850267,1
332,N5,80,239,100.41841,1
333,N5,100,88,340.9090909,1
348,N2,90,434,62.21198157,1
348,N3,100,731,41.03967168,1
348,N5,100,432,69.44444444,2
356,N2,54,155.4,104.2471042,5
356,N3,100,152,197.3684211,2
356,N4,100,112,267.8571429,2
356,N5,82.16666667,125.5,196.4143426,6
362,N2,85,303,84.15841584,2
362,N3,85,286.5,89.0052356,2
363,N2,100,852,35.21126761,1
363,N3,83.33333333,355.3333333,70.3564728,6
363,N5,85,504,50.5952381,2
367,N5,50,1467.5,10.22146508,2
375,N5,66.66666667,283,70.67137809,3
376,N5,60,767,23.46805737,1
377,N5,30,230,39.13043478,2
378,N2,90,239,112.9707113,1
380,N2,70,451,46.5631929,1
382,N5,95,1406.5,20.26306434,2
384,N2,100,100,300,1
385,N5,90,1757,15.36710302,1
386,N5,100,1317,22.77904328,1
